,Player,Team,EV_xGF,EV_xGA,EV_TOI,Game_Id,xGF/60,xGA/60,xGF%
239,OLIVER BJORKSTRAND,SEA,6.581776962499131,7.005252219969402,144.28333333333333,271541,2.737021724037989,2.9131232519221264,48.4416193864635
240,ONDREJ PALAT,N.J,5.7623973084846485,4.9483881383202935,126.01666666666667,271451,2.7436358035371953,2.356063655330387,53.799950872917435
241,OSKAR SUNDQVIST,MIN,0.5357248303480444,0.3897768273018298,10.683333333333334,30162,3.0087509972745083,2.1890742250960797,57.8848050589569
242,PAT MAROON,T.B,2.764459174359216,1.4492621964309351,58.93333333333333,180741,2.8144946345286135,1.4754931864115854,65.60612178875103
243,PATRICE BERGERON,BOS,1.4989232220686954,1.1905030633788547,41.483333333333334,90348,2.1679885895730426,1.7219007746741168,55.73393962048148
244,PATRICK KANE,NYR,4.230301028583197,4.9413989856839144,97.58333333333333,211008,2.601039061127158,3.038264107337676,46.12341247536136
245,PAUL STASTNY,CAR,3.381406206521203,2.2367803672095743,75.75,241244,2.6783415497197645,1.771707221552138,60.18679091811947
246,PAVEL ZACHA,BOS,5.908495744573879,3.7433174848556496,97.60000000000001,210798,3.632271974123286,2.3012197652801123,61.21643264457472
247,PHIL KESSEL,VGK,1.9003518547397091,2.0413352625910175,45.266666666666666,120690,2.5188758015695702,2.705746297985148,48.211636240336844
248,PHILIP BROBERG,EDM,1.713169972877948,1.5121634554816397,39.11666666666667,181161,2.6277852161740998,2.3194667404064346,53.11605794968213
249,PHILLIP DANAULT,L.A,5.612626544432711,4.871704858262088,104.55,181101,3.221019537694526,2.795813405028458,53.53347131883004
250,PIERRE ENGVALL,NYI,4.1224173462251175,4.719211211660874,81.89999999999999,180801,3.020085967930489,3.457297590960348,46.6250908329356
251,PIERRE-EDOUARD BELLEMARE,T.B,1.9553791754879044,1.4605220218654704,53.18333333333333,180741,2.2060059641981997,1.6477214912929155,57.243434821912395
252,PIERRE-LUC DUBOIS,WPG,4.4133602296933505,4.378864711616186,92.25,150865,2.8704781981745366,2.8480420888560554,50.19617058428004
253,QUINTON BYFIELD,L.A,4.1771085049840595,5.191127088153732,87.25,181101,2.872510146693909,3.5698295162088702,44.587995930031695
254,RADEK FAKSA,DAL,2.030907356995156,2.530990446801295,89.75,241444,1.357709653701497,1.6920270396443198,44.518913933254204
255,RADKO GUDAS,FLA,4.220144880237054,6.191057438496495,132.26666666666665,271221,1.9143802380107606,2.808443394479257,40.534654413962116
256,RASMUS KUPARI,L.A,0.8919539953349152,3.5562947012949713,41.5,181101,1.28957204144807,5.141630893438513,20.051801420426056
257,REILLY SMITH,VGK,3.579063409706576,3.249330076156182,79.11666666666667,181106,2.714267595311496,2.4642065039313783,52.41442832954092
258,ROOPE HINTZ,DAL,5.8523029797943265,3.8056585962185605,118.01666666666668,241444,2.975327033930175,1.9348073642687214,60.595633289010685
259,ROSS COLTON,T.B,3.3286571421194795,3.1638795975595695,73.28333333333333,180741,2.725304915085314,2.590394940007835,51.26897660472889
260,RYAN DONATO,SEA,2.3433106942102286,2.93923539901152,77.38333333333333,271541,1.816911156398196,2.2789677873016307,44.35949356347362
261,RYAN GRAVES,N.J,6.37509403401054,5.4146370892412925,144.58333333333331,271451,2.645572163969792,2.246996371327799,54.07327756133057
262,RYAN HARTMAN,MIN,3.2271223579300545,2.6209872766630706,80.81666666666666,150819,2.3958837881105786,1.9458763035650761,55.182316330746715
